City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,forio,40.7342,13.8646,295.0,80,13,0.89,IT,1693371373
83,antsohihy,-14.8796,47.9875,299.58,45,14,5.37,MG,1693371374
84,conceicao da barra,-18.5933,-39.7322,295.04,96,44,2.19,BR,1693371374
85,kudahuvadhoo,2.6708,72.8944,301.17,72,100,3.8,MV,1693371375
86,tshabong,-26.05,22.45,282.88,55,24,6.11,BW,1693371376
87,ribeira grande,38.5167,-28.7,296.36,86,96,0.45,PT,1693371376
88,mount pearl,47.5166,-52.7813,288.34,93,40,5.14,CA,1693371377
89,arraial do cabo,-22.9661,-42.0278,293.8,90,100,6.84,BR,1693371377
90,papatowai,-46.5619,169.4708,285.52,66,16,2.56,NZ,1693371378
91,las toscas,-28.3529,-59.258,286.02,70,0,2.26,AR,1693371379
92,mbandaka,0.0487,18.2603,293.48,92,75,1.66,CD,1693371379
93,bishkek,42.87,74.59,296.26,19,60,1.55,KG,1693371380
94,nogliki,51.8333,143.1667,289.27,75,100,2.33,RU,1693371380
95,port elizabeth,-33.918,25.5701,284.31,66,0,2.06,ZA,1693371382
96,chandrakona,22.7333,87.5167,306.88,50,85,2.67,IN,1693371383
97,vila franca do campo,37.7167,-25.4333,294.38,75,90,1.06,PT,1693371383
98,tura,25.5198,90.2201,304.4,57,6,1.41,IN,1693371384
99,ust-nera,64.5667,143.2,295.39,46,78,5.94,RU,1693371385
100,sitka,57.0531,-135.33,289.09,82,100,2.06,US,1693371385
101,dilling,12.05,29.65,296.91,75,96,2.57,SD,1693371386
102,nova sintra,14.8667,-24.7167,296.76,80,87,3.52,CV,1693371387
103,nizhniy kuranakh,58.8353,125.4869,298.62,47,10,0.99,RU,1693371387
104,petropavlovsk-kamchatsky,53.0452,158.6483,290.48,63,40,5.0,RU,1693371388
105,kununurra,-15.7667,128.7333,307.14,15,23,4.63,AU,1693371388
106,geraldton,-28.7667,114.6,303.38,26,0,3.09,AU,1693371389
107,hermanus,-34.4187,19.2345,289.44,75,5,2.38,ZA,1693371390
108,vorgashor,67.5833,63.95,281.86,78,100,1.54,RU,1693371390
109,paragominas,-2.9667,-47.4833,294.43,93,0,1.14,BR,1693371391
110,maydanshakhr,34.3956,68.8662,296.18,34,0,2.04,AF,1693371392
111,viedma,-40.8135,-62.9967,285.55,37,98,5.84,AR,1693371392
112,santa cruz,-17.8,-63.1667,296.85,73,75,1.54,BO,1693371299
113,anderson,34.5334,-82.6499,296.99,98,96,2.15,US,1693371394
114,whitehorse,60.7161,-135.0538,293.58,42,75,5.14,CA,1693371395
115,kerikeri,-35.2268,173.9474,288.1,78,95,0.45,NZ,1693371395
116,alofi,-19.0595,-169.9187,297.09,60,67,7.2,NU,1693371396
117,bamboo flat,11.7,92.7167,303.2,74,75,5.66,IN,1693371396
118,sisimiut,66.9395,-53.6735,277.91,85,89,2.57,GL,1693371397
119,bathsheba,13.2167,-59.5167,301.49,89,75,7.2,BB,1693371397
120,ponta delgada,37.7333,-25.6667,294.55,88,75,2.06,PT,1693371171
121,primero de mayo,-32.2552,-58.4228,282.9,64,1,3.13,AR,1693371399
122,palangkaraya,-2.2,113.8333,310.62,33,43,1.05,ID,1693371399
123,viqueque,-8.8673,126.3658,302.18,47,29,3.79,TL,1693371400
124,bilibino,68.0546,166.4372,282.62,92,100,1.45,RU,1693371400
125,toliara,-23.35,43.6667,293.81,54,0,7.89,MG,1693371401
126,tongliao,43.6125,122.2653,296.41,50,31,2.71,CN,1693371402
127,djambala,-2.5447,14.7533,293.6,86,75,1.49,CG,1693371402
128,dehui,44.5333,125.7,289.8,91,100,5.27,CN,1693371403
129,isafjordur,66.0755,-23.124,282.35,79,100,0.99,IS,1693371403
130,badger,64.8,-147.5333,296.1,70,40,2.06,US,1693371404
131,egletons,45.4034,2.0507,279.58,97,3,0.86,FR,1693371405
132,altamont,42.2068,-121.7372,287.46,68,0,3.09,US,1693371135
133,rottenburg an der laaber,48.7,12.0333,285.77,96,100,2.08,DE,1693371406
134,takahagi,36.7167,140.7167,304.36,83,86,1.34,JP,1693371407
135,kemijarvi,66.7131,27.4306,284.57,95,64,1.97,FI,1693371407
136,asuncion nochixtlan,17.4667,-97.2333,287.6,92,50,1.08,MX,1693371408
137,sao vicente,-23.9631,-46.3919,293.3,26,24,1.13,BR,1693371408
138,namsos,64.4662,11.4957,281.18,100,100,3.09,NO,1693371409
139,yuzhno-kurilsk,44.0306,145.8556,290.8,72,58,3.53,RU,1693371409
140,duong dong,10.2167,103.9667,302.15,84,40,5.14,VN,1693371410
141,nabire,-3.3667,135.4833,302.42,74,48,1.42,ID,1693371411
142,port lincoln,-34.7333,135.8667,286.04,61,92,6.9,AU,1693371411
143,imbituba,-28.24,-48.6703,287.58,93,65,2.69,BR,1693371412
144,shantobe,52.4581,68.1839,286.14,59,61,5.09,KZ,1693371412
145,hamilton,39.1834,-84.5333,293.69,82,0,3.09,US,1693371133
146,keflavik,64.0049,-22.5624,284.1,93,75,1.03,IS,1693371414
147,remire-montjoly,4.9167,-52.2667,297.17,100,0,0.0,GF,1693371415
148,chone,-0.6833,-80.1,296.7,93,5,1.24,EC,1693371398
149,bada,51.392,109.8717,296.49,41,20,2.5,RU,1693371416
150,ningyang,35.7642,116.7914,301.16,48,0,1.17,CN,1693371416
151,sorong,-0.8833,131.25,300.98,80,89,6.48,ID,1693371417
152,yorkton,51.2167,-102.4677,290.06,72,0,4.63,CA,1693371418
153,zheleznogorsk-ilimskiy,56.5768,104.1217,300.38,47,29,2.2,RU,1693371418
154,kapoeta,4.7717,33.5903,299.8,46,97,8.29,SS,1693371419
155,la ronge,55.1001,-105.2842,293.29,77,0,2.57,CA,1693371419
156,san patricio,28.017,-97.5169,303.09,59,42,1.42,US,1693371166
157,el granada,37.5027,-122.4694,295.17,74,0,7.2,US,1693371420
158,thompson,55.7435,-97.8558,288.24,82,40,2.06,CA,1693371421
159,xichang,27.8964,102.2634,290.18,90,100,0.38,CN,1693371422
