City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bredasdorp,-34.5322,20.0403,12.88,96,85,2.48,ZA,1693438456
83,grytviken,-54.2811,-36.5092,-3.33,75,65,2.12,GS,1693438477
84,hakui,36.8833,136.7833,31.25,64,100,1.52,JP,1693438477
85,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,68,0,3.0,RU,1693438478
86,fisterra,42.9049,-9.2629,19.86,93,32,3.41,ES,1693438478
87,buka,40.8108,69.1986,18.61,67,86,1.34,UZ,1693438479
88,utrik,11.2278,169.8474,28.6,74,33,7.36,MH,1693438480
89,laayoune,27.1622,-13.2032,22.19,100,75,6.69,EH,1693438480
90,vilyuchinsk,52.9306,158.4028,18.15,63,19,4.23,RU,1693438481
91,ataq,14.5377,46.8319,27.29,33,43,3.38,YE,1693438481
92,yuzhno-kurilsk,44.0306,145.8556,18.54,91,95,5.83,RU,1693438482
93,kotido,2.9806,34.1331,20.72,69,88,0.26,UG,1693438483
94,walvis bay,-22.9575,14.5053,13.53,94,1,0.51,NA,1693438483
95,barberton,-25.7884,31.0532,14.05,79,0,1.09,ZA,1693438484
96,bathsheba,13.2167,-59.5167,28.34,89,40,6.69,BB,1693438484
97,taro,-8.3862,115.28,21.03,84,73,1.23,ID,1693438486
98,aykhal,66.0,111.5,7.53,93,100,6.93,RU,1693438486
99,cadale,2.7603,46.3222,24.9,83,99,7.76,SO,1693438487
100,klyuchi,52.2667,79.1667,17.87,49,59,1.7,RU,1693438487
101,lebu,-37.6167,-73.65,8.58,77,44,1.25,CL,1693438488
102,nizhniye vyazovyye,55.7988,48.5248,14.07,57,100,3.33,RU,1693438489
103,stanley,54.868,-1.6985,11.14,92,0,1.03,GB,1693438475
104,rawai,7.7797,98.3253,28.06,74,98,7.17,TH,1693438490
105,lompoc,34.6391,-120.4579,30.43,48,0,4.63,US,1693438293
106,baki,-7.6128,110.7839,23.3,72,96,3.81,ID,1693438491
107,esmeraldas,-19.7625,-44.3139,24.58,54,58,1.28,BR,1693438492
108,keflavik,64.0049,-22.5624,11.95,87,75,6.69,IS,1693438493
109,vila franca do campo,37.7167,-25.4333,22.23,81,39,1.01,PT,1693438494
110,grootfontein,-19.5667,18.1167,9.76,43,1,1.54,NA,1693438495
111,cabo san lucas,22.8909,-109.9124,35.34,70,20,1.54,MX,1693438205
112,sa'dah,16.9402,43.7639,21.04,67,69,1.2,YE,1693438496
113,enewetak,11.3474,162.3373,28.81,76,99,4.88,MH,1693438496
114,araripe,-7.2125,-40.0461,24.3,35,57,1.94,BR,1693438497
115,bayganin,48.6947,55.8742,13.16,49,9,3.88,KZ,1693438498
116,lamu,-2.2717,40.902,24.12,84,27,6.85,KE,1693438498
117,dispur,26.1425,91.7889,27.97,92,8,0.94,IN,1693438208
118,la quinta,33.6634,-116.31,44.3,24,0,0.89,US,1693438500
119,puerto baquerizo moreno,-0.9,-89.6,26.55,74,40,7.2,EC,1693438500
120,san luis de la loma,17.2706,-100.8939,28.09,81,86,0.67,MX,1693438501
121,udachny,66.4167,112.4,9.14,100,100,12.61,RU,1693438501
122,isafjordur,66.0755,-23.124,10.46,80,99,0.61,IS,1693438502
123,longyearbyen,78.2186,15.6401,6.91,93,75,3.6,SJ,1693438504
124,vorgashor,67.5833,63.95,6.31,84,35,2.38,RU,1693438504
125,hithadhoo,-0.6,73.0833,27.56,74,96,1.88,MV,1693438505
126,ontario,34.0633,-117.6509,41.16,31,20,7.72,US,1693437897
127,chake chake,-5.2459,39.7666,22.74,88,17,2.7,TZ,1693438506
128,sassnitz,54.5167,13.65,13.78,74,95,4.94,DE,1693438507
129,richards bay,-28.783,32.0377,19.06,75,0,6.67,ZA,1693438244
130,murzuq,25.9155,13.9184,31.48,30,9,5.44,LY,1693438508
131,urengoy,65.9667,78.3667,5.83,84,31,3.48,RU,1693438509
132,tomar,39.602,-8.4092,19.07,92,77,4.28,PT,1693438510
133,almyros,39.1822,22.7594,23.7,50,0,3.6,GR,1693438510
134,tura,25.5198,90.2201,24.17,80,1,1.21,IN,1693438511
135,weno,7.4515,151.8468,30.97,74,100,3.6,FM,1693438512
136,thisted,56.9552,8.6949,13.97,86,99,3.21,DK,1693438513
137,puerto natales,-51.7236,-72.4875,2.92,84,99,4.85,CL,1693438513
138,kutum,14.2,24.6667,20.9,81,93,4.99,SD,1693438514
139,happy valley-goose bay,53.3168,-60.3315,10.17,93,100,5.14,CA,1693438515
140,fada,9.5667,8.3,19.91,99,86,1.14,NG,1693438515
141,jamestown,42.097,-79.2353,17.77,94,100,3.09,US,1693438516
142,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1693438517
143,hadibu,12.65,54.0333,26.06,81,24,7.68,YE,1693438517
144,hilo,19.7297,-155.09,31.27,74,100,6.17,US,1693438518
145,broken hill,-31.95,141.4333,11.43,56,0,7.12,AU,1693438519
146,hanzhong,33.0728,107.0303,19.87,74,45,1.02,CN,1693438519
147,goure,13.9835,10.2704,30.1,55,100,3.86,NE,1693438520
148,nelsonville,39.4587,-82.2318,21.32,68,67,4.08,US,1693438521
149,laojunmiao,39.8333,97.7333,18.21,44,95,1.29,CN,1693438522
150,gorontalo,0.5412,123.0595,27.4,56,80,2.07,ID,1693438523
151,san antonio de pale,-1.4014,5.6325,23.61,90,87,5.62,GQ,1693438523
152,akureyri,65.6835,-18.0878,8.96,87,100,1.54,IS,1693438524
153,safford,32.834,-109.7076,32.33,30,36,1.24,US,1693438525
154,port elizabeth,-33.918,25.5701,16.16,59,0,2.57,ZA,1693438525
155,santanyi,39.3546,3.1291,20.35,61,2,0.42,ES,1693438526
156,la jolla,32.8473,-117.2742,38.06,69,0,4.02,US,1693438427
157,naze,28.3667,129.4833,25.51,84,16,6.82,JP,1693438528
158,fale old settlement,-9.3852,-171.2468,28.48,76,40,6.13,TK,1693438528
159,olonkinbyen,70.9221,-8.7187,5.4,78,61,2.97,SJ,1693438529
160,yulinshi,38.2906,109.7494,21.5,46,58,1.95,CN,1693438530
161,kerikeri,-35.2268,173.9474,16.06,72,3,1.34,NZ,1693438531
162,junction city,39.0286,-96.8314,31.89,39,0,3.6,US,1693438340
163,ilulissat,69.2167,-51.1,5.01,93,75,0.0,GL,1693438532
164,segou,13.4317,-6.2157,26.39,76,36,2.57,ML,1693438533
165,santa ana,33.7456,-117.8678,38.73,56,20,6.69,US,1693437827
166,hammerfest,70.6634,23.6821,11.25,93,100,1.03,NO,1693438534
167,nemuro,43.3236,145.575,18.39,92,100,5.83,JP,1693438535
168,upper grand lagoon,30.1633,-85.7408,27.79,89,75,0.45,US,1693438537
169,berdigestyakh,62.0989,126.6992,20.56,49,25,3.04,RU,1693438537
170,praia da vitoria,38.7333,-27.0667,22.14,88,0,1.46,PT,1693438538
171,coaticook,45.1334,-71.7991,17.87,98,56,4.36,CA,1693438539
172,bilibino,68.0546,166.4372,8.29,96,100,7.17,RU,1693438539
173,sao tome,0.3365,6.7273,24.66,89,77,4.42,ST,1693438540
174,ebon,4.582,168.6964,28.92,73,95,3.69,MH,1693438541
175,shingu,33.7333,135.9833,26.49,87,100,2.12,JP,1693438541
176,vershino-darasunskiy,52.35,115.5167,15.32,52,9,1.93,RU,1693438542
177,kasongo-lunda,-6.4667,16.8167,23.34,34,6,1.12,CD,1693438543
178,muisne,0.6,-80.0333,25.48,89,73,4.47,EC,1693438543
179,polysayevo,54.6012,86.2459,13.34,92,13,2.74,RU,1693438544
180,avarua,-21.2078,-159.775,23.03,53,75,2.06,CK,1693438544
181,lishui,28.4604,119.9103,22.9,89,93,1.5,CN,1693438545
182,saint-philippe,-21.3585,55.7679,20.4,77,88,4.59,RE,1693438546
183,dolbeau-mistassini,48.8763,-72.212,13.36,90,87,2.18,CA,1693438547
184,usinsk,65.9939,57.5281,7.13,80,8,3.65,RU,1693438548
185,illizi,26.4833,8.4667,33.89,27,12,1.99,DZ,1693438548
186,harstad,68.799,16.5293,13.23,83,44,2.24,NO,1693438549
187,st. john's,47.5649,-52.7093,19.32,97,100,8.75,CA,1693438498
188,carnarvon,-24.8667,113.6333,22.06,63,0,3.0,AU,1693438550
189,kodiak,57.79,-152.4072,13.73,94,75,4.12,US,1693438551
190,khovd,48.0056,91.6419,17.28,50,72,2.79,MN,1693438551
191,mwene-ditu,-7.0,23.45,24.21,33,31,1.52,CD,1693438552
192,haiku-pauwela,20.9219,-156.3051,31.01,58,40,11.83,US,1693438552
193,chengde,40.9725,117.9361,18.86,74,48,1.45,CN,1693438553
194,holualoa,19.6228,-155.9522,27.91,72,20,5.14,US,1693438554
195,muromtsevo,56.3724,75.2418,13.5,95,93,3.05,RU,1693438554
196,antalaha,-14.9003,50.2788,21.72,80,47,5.04,MG,1693438555
197,arraial do cabo,-22.9661,-42.0278,19.98,92,40,5.14,BR,1693438556
198,dudinka,69.4058,86.1778,4.79,67,4,6.77,RU,1693438556
199,la passe,45.5549,-0.8967,16.66,73,53,3.63,FR,1693438557
200,sisimiut,66.9395,-53.6735,4.11,86,95,6.26,GL,1693438558
201,itamaraca,-7.7478,-34.8256,27.03,85,0,3.39,BR,1693438559
202,labytnangi,66.6572,66.4183,10.54,67,100,5.48,RU,1693438559
203,stanovoye,52.7638,38.3582,15.88,65,3,1.92,RU,1693438560
204,morant bay,17.8815,-76.4093,31.79,85,97,4.27,JM,1693438561
205,morinville,53.8001,-113.652,28.04,48,75,4.63,CA,1693438562
206,ouarzazat,30.9189,-6.8934,27.16,19,0,4.12,MA,1693438563
207,cabedelo,-6.9811,-34.8339,25.37,85,4,3.96,BR,1693438564
208,mhamid,29.82,-5.72,29.95,18,0,3.66,MA,1693438564
209,constantia,44.1833,28.65,24.38,80,54,1.27,RO,1693438565
210,pacific grove,36.6177,-121.9166,32.47,71,0,3.6,US,1693438492
211,mossel bay,-34.1831,22.146,14.96,79,42,2.81,ZA,1693438566
212,trincomalee,8.5711,81.2335,27.2,72,100,6.85,LK,1693438567
213,kismayo,-0.3582,42.5454,24.35,84,62,6.8,SO,1693438567
214,san patricio,28.017,-97.5169,36.77,33,2,6.55,US,1693438568
215,regina,50.4501,-104.6178,30.99,35,75,11.83,CA,1693438197
216,qaqortoq,60.7167,-46.0333,5.83,97,100,3.17,GL,1693438569
